Date	Speaker	Affiliation	Title	Abstract
"""2022-01-31"""	"""Dr. Yingying Wei"""	"""Chinese University of Hong Kong"""	"""Meta-clustering of Genomic Data"""	"""Like traditional meta-analysis that pools effect sizes across studies to improve statistical power, it is of increasing interest to conduct clustering jointly across datasets to identify disease subtypes for bulk genomic In this talk, I will present our Batch-effects-correction-with-Unknown-Subtypes (BUS) framework. BUS is capable of correcting batch effects explicitly, grouping samples that share similar characteristics into subtypes, identifying features that distinguish subtypes, and enjoying a linear-order computational complexity. We prove the identifiability of BUS for not only bulk data but also scRNA-seq data whose dropout events suffer from missing not at random. We mathematically show that under two very flexible and realistic experimental designsÑthe Òreference panelÓ and the Òchain-typeÓ designsÑtrue biological variability can also be separated from batch effects. Moreover, despite the active research on analysis methods for scRNA-seq data, rigorous statistical methods to estimate treatment effects for scRNA-seq dataÑhow an intervention or exposure alters the cellular composition and gene expression levelsÑare still lacking. Building upon our BUS framework, we further develop statistical methods to quantify treatment effects for scRNA-seq data. data and discover cell types for single-cell RNA-sequencing (scRNA-seq) data. Unfortunately, due to the prevalence of technical batch effects among high-throughput experiments, directly clustering samples from multiple datasets can lead to wrong results. The recent emerging meta-clustering approaches require all datasets to contain all subtypes, which is not feasible for many experimental designs."""
"""2022-02-07"""	"""Dr. Arjun Krishnan"""	"""Michigan State University"""	"""Democratizing data-driven biology: Tackling incomplete data, unstructured metadata, and hidden curricula"""	"""There is much enthusiasm about using omics and biomedical data collections to fuel research on complex traits and diseases. However, there are still some well-known fundamental challenges in seamlessly and effectively using these data to drive research. For instance, there are >1.5 million human gene expression profiles that are publicly available, but, depending on the technology/platform used to record each profile, different subsets of genes in the genome are measured in these transcriptomes, leading to thousands of unmeasured genes in many of these profiles. These gaps in data are major hurdles for integrative analysis. Critical problems also exist with data descriptions: the majority of >2 million publicly available omics samples lack structured metadata, including information about tissue of origin, disease status, and environmental conditions. Thus, discovering samples and datasets of interest is not straightforward. In this seminar, I will present recent work from our group on developing machine learning approaches to address these fundamental challenges. In addition, I will discuss the need for improving advanced research training in biological data analysis by formalizing concepts in statistical procedures, study design, data/code management, critically consuming data-driven findings, and reproducible research."""
"""2022-02-14"""	"""Dr. Danyu Lin"""	"""University of North Carolina at Chapel Hill"""	"""Durability of Covid-19 Vaccines"""	"""Evaluating the durability of protection afforded by Covid-19 vaccines is a public health priority, with the results needed to inform policies around booster vaccinations as well as those around non-pharmaceutical interventions. In this talk, I will present a general framework for estimating the effects of Covid-19 vaccines over time in phase 3 clinical trials and observational studies. I will show some results on the duration of vaccine protection from the Moderna pivotal trial and from the North Carolina statewide surveillance data. The latter data, which were published in the New England Journal of Medicine in January, provided rich information about the effectiveness of the Pfizer, Moderna, and Johnson & Johnson vaccines in reducing the risks of Covid-19, hospitalization, and death over time. I will discuss the implications of these results for booster vaccinations."""
"""2022-03-14"""	"""Dr. Lin Hou"""	"""Tsinghua University"""	"""Inference of disease associated genomic segments in post-GWAS analysis"""	"""Identification and interpretation of disease associated loci remain a paramount challenge in genome-wide association (GWAS) of complex disease. We develop post-GWAS analysis tools, which leverage pleiotropy and functional annotations to dissect the genetic architecture of complex traits. In this talk, I will first introduce LOGODetect, a powerful and efficient statistical method to identify small genome segments harboring local genetic correlation signals. LOGODetect automatically identifies genetic regions showing consistent association with multiple phenotypes through a scan statistic approach. Applied to seven neuropsychiatric traits, we identify hub regions showing concordant effect on five or more traits. Next, I will introduce Openness Weighted Association Studies (OWAS), a computational approach that leverage and aggregate predictions of chromatin accessibility in personal genomes for prioritizing GWAS signals. In extensive simulation and real data analysis, OWAS identifies genes/segments that explain more heritability than existing methods, and has a better replication rate in independent cohorts than GWAS. Moreover, the identified genes/segments show tissue-specific patterns and are enriched in disease relevant pathways."""
"""2022-03-21"""	"""Dr. Hongkai Ji"""	"""Johns Hopkins Bloomberg School of Public Health"""	"""A statistical framework for differential pseudotime analysis with multiple single-cell RNA-seq samples"""	"""Pseudotime analysis with single-cell RNA-sequencing (scRNA-seq) data has been widely used to study dynamic gene regulatory programs along continuous biological processes. While many computational methods have been developed to infer the pseudo-temporal trajectories of cells within a biological sample, methods that compare pseudo-temporal patterns with multiple samples (or replicates) across different experimental conditions are lacking. Lamian is a comprehensive and statistically-rigorous computational framework for differential multi-sample pseudotime analysis. It can be used to identify changes in a biological process associated with sample covariates, such as different biological conditions, and also to detect changes in gene expression, cell density, and topology of a pseudotemporal trajectory. Unlike existing methods that ignore sample variability, Lamian draws statistical inference after accounting for cross-sample variability and hence substantially reduces sample-specific false discoveries that are not generalizable to new samples. Using both simulations and real scRNA-seq data, including an analysis of differential immune response programs between COVID-19 patients with different disease severity levels, we demonstrate the advantages of Lamian in decoding cellular gene expression programs in continuous biological processes."""
"""2022-03-28"""	"""Dr. Li Hsu"""	"""Fred Hutchinson Cancer Research Center"""	"""A Mixed-Effects Model for Powerful Association Tests in Integrative Functional Genomic Data"""	"""Genome-wide association studies (GWAS) have successfully identified thousands of genetic variants for many complex diseases; however, these variants explain only a small fraction of the heritability. Recent developments in genotype-omics studies have shown promises for discovering novel loci by leveraging genetically regulated molecular phenotypes (e.g., gene expression, methylation, proteomics) into GWAS. However, there is a limitation in the existing approaches. Some variants can individually influence disease risk through alternative functional mechanisms. Existing approaches of testing only the association of imputed molecular phenotypes will potentially lose power. To tackle this challenge, we consider a unified mixed effects model that formulates the association of intermediate phenotypes such as imputed gene expression through fixed effects, while allowing for residual effects of individual variants as random effects. We consider a set-based score testing framework, MiST (Mixed effects Score Test), and propose data-driven combination approaches to jointly test for the fixed and random effects. We also provide p-values for fixed and random effects separately to enhance interpretability of the association signals. Recently, we extend the MiST to depend on only GWAS summary statistics instead of individual level data, allowing for a broad application of MiST to GWAS data. Extensive simulations demonstrate that MiST is more powerful than existing approaches and summary statistics-based MiST (sMiST) agrees well those obtained from individual level data with substantively improved computational speed. We apply sMiST to a large-scale GWAS of colorectal cancer using summary statistics from >120, 000 study participants and gene expression data from the Genotype-Tissue Expression (GTEx) project. We identify several novel and secondary independent genetic loci."""
"""2022-04-11"""	"""Dr. Daniel Roden"""	"""University of New South Wales"""	"""A Single-Cell and Spatially Resolved Atlas of Human Breast Cancers"""	"""Breast cancers are complex cellular ecosystems where heterotypic interactions play central roles in disease progression and response to therapy. However, our knowledge of their cellular composition and organization remains limited. Recently we published an integrated cellular and spatial atlas of 26 primary human breast cancers spanning all major molecular subtypes1. This provided a systematic, high-resolution, characterization of the cellular diversity of the epithelial, immune and stromal cellular landscape. To investigate neoplastic cell heterogeneity, we developed a single cell classifier of intrinsic subtype (scSubtype) and revealed recurrent transcriptional gene modules that define the neoplastic cells. This detailed cellular taxonomy was then used to deconvolute large breast cancer cohorts, allowing their stratification into nine clusters, termed ÔecotypesÕ, with unique cellular compositions and association with clinical outcome. Further, Visium spatial profiling provided an initial view of how stromal, immune and neoplastic cells are spatially organized in tumours, offering insights into tumour regulation. This work is now being expanded to the generation and integration of 100s of cellular profiles and a matching dataset of spatially resolved tumour transcriptomes. We propose that this will identify cellular niches that are spatially organized in breast tumours, offering insights into anti-tumour immune regulation and neoplastic heterogeneity. In particular, IÕll discuss recent work, using whole-transcriptome Nanostring spatial profiling, that analyses T-cell and cancer rich regions of the tumour micro-environment in triple-negative breast cancers, showing how integration with our cellular taxonomy allows for deconvolution of the cell-type abundances in these specific tissue regions. Our work highlights the potential of large-scale, integrated, cellular and spatial genomics to unravel the complex cellular heterogeneity within tumours and identify novel cell types, niches, and regulatory states that will inform treatment response."""
"""2022-08-22"""	"""Dr. Abraham Palmer"""	"""University of California San Diego"""	"""Using Outbred HS Rats to Study the Genetic Basis of Almost Everything You Can Think Of"""	"""Whereas there are well established methods for translating findings about single genes from humans to non-humans, there is an urgent need for methods to translate the polygenic signals obtained from GWAS across species. This is difficult because GWAS produces information about SNPs rather than genes, however SNPs are inherently species specific. My lab is helping to develop two complementary methods to address this problem. Both methods depend on translation of GWAS signals from SNPs to genes. In one method, this is done by choosing the gene that is nearest to an implicated SNP. The list of orthologous genes from two or more species are then projected into a previously defined gene network and a random walk is used to defuse the signal to neighboring genes. The overlap between the network defined by each species is then assessed for significance relative to permuted gene sets. In the second method, SNPs are used to predict gene expression and these predictions are used to estimate the effect of each geneÕs expression on phenotype, creating what we term a polygenetic transcriptomic risk score (PTRS). A PTRS can then be used in conjunction with orthologous genes such that a PTRS defined in one species can be used to estimate an analogous trait in individuals from another species. In preliminary work we found that both methods identify highly statistically significant overlap in the signals associated with both BMI and body length. We are extending these methods to behavioral traits, including those relevant for substance use disorders."""
"""2022-08-29"""	"""Dr. Arash Shaban-Nejad"""	"""University of Tennessee Health Science Center"""	"""Using Ontologies for Knowledge Engineering and Management in Medicine and Healthcare"""	"""Health intelligence relies on the systematic collection and integration of data from diverse distributed and heterogeneous sources at various levels of granularity. These sources include data from multiple disciplines represented in different formats, languages, and structures posing significant integration and analytics challenges. Using a series of clinical and population health applications and use cases, this seminar highlights the contribution made by emerging semantic technologies that offer enhanced interoperability, interpretability, and explainability through the adoption of ontologies (a computational artifact capturing domain knowledge using concepts, relations, and complex logical rules and axioms), and knowledge graphs."""
"""2022-09-19"""	"""Dr. Luis FS Castro-de-Araujo"""	"""The University of Melbourne"""	"""Bidirectional Causal Modeling With Instrumental Variables and Data From Relatives"""	"""Establishing (or falsifying) causal associations is an essential step towards developing effective interventions for psychiatric and substance use problems. While randomized controlled trials (RCTs) are considered the gold standard for causal inference in health research, they are impossible or unethical in many common scenarios. Mendelian randomization (MR) can be used where RCTs are not feasible, but it requires stringent assumptions that can be fundamentally flawed when applied to complex traits. Some assumptions of MR can be avoided with using structural equation modeling. In this paper we developed an extension of the Direction of Causation twin model (Neale 1994) that includes two polygenic risk scores in the specification, as an approach to avoid some inherent restrictions of both MR and RCT. We hypothesize that adding a second PRS will generate a more flexible model in terms of identification, whilst maintaining reasonable power and allowing for bidirectional causation. OpenMx software is used to explore the power of such a model and its identification. We arrive at an extension of the Direction of Causation model that can be used both in a twin design or in a extended family design, but at the same time relaxing some of MRs assumptions. We further report the model is well powered enough for current data set sizes (from around 13000 observations or less, depending on the variance of the instruments), and in a range of additive, shared and environmental variances found in common clinical scenarios."""
"""2022-10-17"""	"""Dr. Heather M. Highland"""	"""The University of North Carolina at Chapel Hill"""	"""A multi-omics approach to understanding the role of APOL1 in CKD amongst African Ancestry individuals"""	"""APOL1 is an integral part of the complement system, a component of innate immunity that serves as the first line of defense against pathogens. The trypanosome that causes African sleeping sickness developed mechanisms to evade the innate immunity system after the migration out of Africa. This created a selective pressure on non-synonymous variants in the APOL1 gene. These variants are only observed in people with recent African ancestry. People carrying two variants in APOL1 are at increased risk of developing a variety of kidney disease. The mechanism by which APOL1 alters kidney function is currently unclear. To investigate potential mechanisms, we have looked at differences in DNA methylation across the genome and metabolomic profiles. Using 1740 African Americans (AA) in the ARIC study and 3886 Hispanic/Latinos in SOL, we did not observe any statistically significant differences in metabolism in preliminary analyses after adjusting for multiple comparisons. In 947 AAs in ARIC, 949 AAs in JHS and 332 AAs in MESA, we identified extensive differences in methylation near the APOL gene family region on chromosome 22 (p=2.7x10-80). Additional methylation differences were seen near FEZF2, FAM20A, and KIAA0556. The role of these loci in the development of kidney disease in people with two APOL1 risk alleles continues."""
"""2022-10-31"""	"""Chenhao Zhao"""	"""Geisel School of Medicine, Dartmouth College"""	"""MatrixLM: a flexible, interpretable framework for high-throughput data"""	"""The Matrix Linear Model (MLM) is an efficient and computationally feasible solution to association analysis for biomedical high-throughput data. Sen and Liang (2018) developed the MatrixLM.jl package in Julia.  programming language, providing core functions to estimate matrix linear models. The project's main goal was to collaborate on user-friendly documentation, increase testing features, and improve certain coding functionalities. We used simulated data to demonstrate how to use the package and used a case study example based on an actual disease metabolomics study to showcase MLM's benefits. Nonalcoholic fatty liver disease (NAFLD) is a progressive liver disease that is strongly associated with type II diabetes 2. Using Matrix Linear Models, our analysis investigated the association between metabolite characteristics (e.g., pathways) and patient characteristics such as type II diabetes."""
"""2023-02-20"""	"""Dr. Cécile Ané"""	"""University of Wisconsin-Madison"""	"""Methods for Phylogenetic Networks"""	"""Phylogenetic networks and admixture graphs can represent the past history of a group of species or populations and how they diversified. Unlike trees, networks can represent events such as migration between populations, admixture, hybridization between species, or recombination between viral strains. I will give an overview of how phylogenetic networks are used and the difficulties of estimating phylogenetic networks from genome-wide data. Then I will focus on the characterization of what is (or is not) knowable about the network based on genetic distance data."""
"""2023-03-27"""	"""Dr. Patrik Breheny"""	"""University of Iowa"""	"""False Discovery Rates for Penalized Regression Models"""	"""Penalized regression is an attractive methodology for dealing with high-dimensional data where classical likelihood approaches to modeling break down. However, its widespread adoption has been hindered by a lack of inferential tools. In particular, penalized regression is very useful for variable selection, but how confident should one be about those selections? How many of those selections would likely have occurred by chance alone? In this talk, I will review recent developments in this area, with an emphasis on my work and that of my recent graduate students."""
"""2023-04-24"""	"""Dr. Quian Li"""	"""St. Jude Children's Research Hospital"""	"""Statistical Frameworks for Longitudinal Metagenomic and Transcriptomic Data"""	"""Longitudinal sampling has become popular in the omics studies, such as microbiome and transcriptome. To identify operational taxonomy units (OTUs) signaling disease onset, a powerful and cost-efficient strategy was selecting participants by matched sets and profiling their temporal metagenomes, followed by trajectory analysis. We proposed a joint model with matching and regularization (JMR) to detect OTU-specific trajectory predictive of host disease status. The between- and within-matched-sets heterogeneity in OTU relative abundance and disease risk were linked by nested random effects. The inherent negative correlation in microbiota composition was adjusted by incorporating and regularizing the top-correlated taxa as longitudinal covariate, pre-selected by Bray-Curtis distance and elastic net regression. For the longitudinal bulk transcriptomes, we propose a statistical framework ISLET to infer individual-specific and cell-type-specific transcriptome reference panels. ISLET models the repeatedly measured bulk gene expression data to optimize the usage of shared information within each subject. ISLET is the first available method to achieve individual-specific reference estimation in repeated samples. In the simulation study and an application to a large-scale metagenomic study, JMR outperformed the competing methods and identified important taxa in infantsÕ fecal samples with dynamics preceding host autoimmune status. We also show outstanding performance of ISLET in the reference estimation and downstream cell-type-specific differentially expressed genes testing in simulation. An application of ISLET to the longitudinal PBMC transcriptomes in the same study confirms the cell-type-specific gene signatures for early-life autoimmunity."""
"""2023-05-22"""	"""Dr. Hua Zhou"""	"""University of California Los Angeles"""	"""Inferring Within-Subject Variances From Intensive Longitudinal Data"""	"""The availability of vast amounts of longitudinal data from electronic health records (EHR) and personal wearable devices opens the door to numerous new research questions. In many studies, individual variability of a longitudinal outcome is as important as the mean. Blood pressure fluctuations, glycemic variations, and mood swings are prime examples where it is critical to identify factors that affect the within-individual variability. We propose a scalable method, within-subject variance estimator by robust regression (WiSER), for the estimation and inference of the effects of both time-varying and time-invariant predictors on within-subject variance. It is robust against the misspecification of the conditional distribution of responses or the distribution of random effects. It shows similar performance as the correctly specified likelihood methods but is 10_ ~10_ times faster. The estimation algorithm scales linearly in the total number of observations, making it applicable to massive longitudinal data sets. The effectiveness of WiSER is illustrated using the accelerometry data from the Women's Health Study and a clinical trial for longitudinal diabetes care."""
"""2023-09-18"""	"""Zifan (Fred) Yu"""	"""University of Tennessee Knoxville"""	"""Real-time Linear Mixed Model Implementation for Association Mapping on Large Numbers of Quantitative Traits"""	"""The availability of vast amounts of longitudinal data from electronic health records (EHR) and personal wearable devices opens the door to numerous new research questions. In many studies, individual variability of a longitudinal outcome is as important as the mean. Blood pressure fluctuations, glycemic variations, and mood swings are prime examples where it is critical to identify factors that affect the within-individual variability. We propose a scalable method, within-subject variance estimator by robust regression (WiSER), for the estimation and inference of the effects of both time-varying and time-invariant predictors on within-subject variance. It is robust against the misspecification of the conditional distribution of responses or the distribution of random effects. It shows similar performance as the correctly specified likelihood methods but is 10_ ~10_ times faster. The estimation algorithm scales linearly in the total number of observations, making it applicable to massive longitudinal data sets. The effectiveness of WiSER is illustrated using the accelerometry data from the Women's Health Study and a clinical trial for longitudinal diabetes care."""
"""2023-10-30"""	"""Joseph (Kip) Handwerker"""	"""University of Tennessee Health Science Center and University of Memphis"""	"""A Clustering Approach to Non-Equal Length Joint Pattern Genetic and Epigenetics Factors Weighted by Covariates"""	"""Clustering analysis is a popular approach to gaining insight into the structure of data, especially on a large scale. Some of the most popular approaches are the K-means and K-prototype algorithms which are partitioning methods that use distance measures to assign groups. While these methods are good, especially for large datasets, when it comes to genetics data they fail to consider potential joint effects and require the same dimensionality across variables. The Vector in Partition (VIP) algorithm fills this gap with a distance measure designed to partition genetic and epigenetic data with non-equal length dimensions; specifically, gene expression (GE), DNA methylation (CPG), and single nucleotide polymorphisms (SNP). The VIP extension method extends this framework by adding another layer of complex joint effects of genetic and epigenetic data with other potential health-related variables to dictate clustering. The extension algorithm performs well on simulated data when the clustering of the covariates follows the same clustering scheme of the genetics data. Like other distance measures, when the data does not follow a clear clustering scheme the algorithm tends to underperform, especially against numeric data. The results highlight many aspects of the algorithm’s performance capabilities, as well as multiple areas for future improvements."""
"""2023-11-13"""	"""Dr. Xichen Mou"""	"""University of Memphis"""	"""Generalized kernel machine regression"""	"""Kernel Machine Regression (KMR) serves as a nonparametric regression approach fundamental in numerous scientific domains. By utilizing a map determined by the kernel function, KMR transforms original predictors into a higher-dimensional feature space, simplifying the recognition of patterns between outcomes and independent variables. KMR is invaluable in studies within the biomedical and environmental health sectors, where it aids in identifying crucial exposure points and gauging their impact on results. In our study, we introduce the Generalized Bayesian Kernel Machine Regression (GBKMR) which integrates the KMR model within the Bayesian context. GBKMR not only complements the conventional KMR but also suits a range of outcome data, from continuous to binary and count data. Simulation studies confirm GBKMR's superior precision and robustness. We further employ this method on a real data set to pinpoint specific cytosine phosphate guanine (CpG) locations correlated with health-related outcomes or exposures."""
"""2024-01-22"""	"""Dr. Madeleine Udell"""	"""Stanford University"""	"""Big Data is Low Rank"""	"""Data scientists are often faced with the challenge of understanding a high dimensional data set organized as a table. These tables may have columns of different (sometimes, non-numeric) types, and often have many missing entries. This talk surveys methods based on low rank models to analyze these big messy data sets. We show that low rank models perform well — indeed, suspiciously well — across a wide range of data science applications, including in social science, medicine, and machine learning. This good performance demands (and this talk provides) a simple mathematical explanation for their effectiveness, which identifies when low rank models perform well and when to look beyond low rank."""
"""2024-02-12"""	"""Dr. Florian Privé"""	"""Aarhus University, Denmark"""	"""Quality control of GWAS summary statistics"""	"""Results from genome-wide association studies (GWAS summary statistics) have been extensively used in different applications such as estimating the genetic architecture of complex traits and diseases, identifying causal variants with fine-mapping, and predicting complex traits with polygenic scores. One reason behind the popularity of GWAS summary statistics is that they are widely available and shared, e.g. in the GWAS Catalog. However, these GWAS summary statistics come with varying degrees of quality, and from many different tools and studies. In this presentation, I go over several different cases that could go wrong when using GWAS summary statistics and what we can do about it. Most of these are still unknown to many people using GWAS summary statistics on a regular basis, which can cause results they derive to be biased or suboptimal. I present and discuss past and current work on how to perform some quality control and ultimately improve the quality of GWAS summary statistics, in order to make best use of them."""
"""2024-03-28"""	"""Dr. Hailin Sang"""	"""University of Mississippi"""	"""Error analysis of generative adversarial network"""	"""The generative adversarial network (GAN) is an important model developed for high-dimensional distribution learning in recent years. However, there is a pressing need for a comprehensive method to understand its error convergence rate. In this research, we focus on studying the error convergence rate of the GAN model that is based on a class of functions encompassing the discriminator and generator neural networks. These functions are VC type with bounded envelope function under our assumptions, enabling the application of the Talagrand inequality. By employing the Talagrand inequality and Borel-Cantelli lemma, we establish a tight convergence rate for the error of GAN. This method can also be applied on existing error estimations of GAN and yields improved convergence rates. In particular, the error defined with the neural network distance is a special case error in our definition. This talk is based on the project jointly with Mahmud Hasan."""
"""2024-04-22"""	"""Dr. Lorin Crawford"""	"""Brown University and Microsoft Research New England"""	"""Probabilistic methods to identify multi-scale enrichment in genomic sequencing studies"""	"""A consistent theme of the work done in my lab group is to take modern computational approaches and develop theory that enable their interpretations to be related back to classical genomic principles. The central aim of this talk is to address variable selection questions in nonlinear and nonparametric regression. Motivated by statistical genetics, where nonlinear interactions and non-additive variation are of particular interest, we introduce a novel, interpretable, and computationally efficient way to summarize the relative importance of predictor variables. Methodologically, we present flexible and scalable classes of Bayesian models which provide interpretable probabilistic summaries such as posterior inclusion probabilities and credible sets for association mapping tasks in high-dimensional studies. We illustrate the benefits of our methods over state-of-the-art linear approaches using extensive simulations. We also demonstrate the ability of these methods to recover both novel and previously discovered genomic associations using real human complex traits from the Wellcome Trust Case Control Consortium (WTCCC), the Framingham Heart Study, and the UK Biobank."""
"""2024-05-06"""	"""Dr. Lou You"""	"""University of South Florida"""	"""Joint Modeling of Multivariate Nonparametric Longitudinal Data and Survival Data by A Local Smoothing Approach"""	"""In many clinical studies, evaluating the association between longitudinal and survival outcomes is of primary concern. For analyzing data from such studies, joint modeling of longitudinal and survival data becomes an appealing approach. In some applications, there are multiple longitudinal outcomes whose longitudinal pattern is difficult to describe by a parametric form. For such applications, existing research on joint modeling is limited. In this paper, we develop a novel joint modeling method to fill the gap. In the new method, a local polynomial mixed-effects model is used for describing the nonparametric longitudinal pattern of the multiple longitudinal outcomes. Two model estimation procedures, i.e., the local EM algorithm and the local penalized quasi-likelihood estimation, are explored. Practical guidelines for choosing tuning parameters and for variable selection are provided. The new method is justified by some theoretical arguments and numerical studies."""
"""2024-07-01"""	"""Dr. Mehmet Koçak"""	"""Istanbul Medipol University, Istanbul, Turkey"""	"""Modeling GeoSpatial Data: Turkish Health Studies"""	"""Spatial autocorrelation is a fundamental concept in spatial statistics, describing the degree to which a set of spatial data points are correlated with each other across a geographical space. This presentation provides a comprehensive overview of spatial autocorrelation, discussing its definitions, detection methods, and modeling techniques. Firstly, we delve into the definition of spatial autocorrelation, highlighting its significance in understanding geographical data patterns. We cover various aspects such as self-correlation due to geographical ordering, information content in geo-referenced data, and its role as a diagnostic tool for spatial model misspecification. Next, we explore methods for detecting spatial autocorrelation, focusing on Moran’s I and Geary’s C statistics, which provide formal tests for spatial dependency. The presentation explains how to compute these statistics and interpret their results, supported by visual examples and practical applications. We then shift to modeling spatial autocorrelation, demonstrating the use of SAS procedure PROC SPATIALREG. The SPATIALREG procedure enables the application of various spatial models, including Spatial Auto-regressive (SAR), Spatial Durbin Model (SDM), Spatial Error Model (SEM), etc. We also provide examples of geospatial modeling using sets of Turkish Health Studies, which are national surveys having more than 20,000 participants, considering spatial autocorrelation in both the response and predictor variables. We discuss the generation of spatial weight matrices and the fitting of spatial models to the data, highlighting key findings and model performance metrics."""
"""2024-07-15"""	"""Dr. Chris Emfinger"""	"""University of Wisconsin-Madison"""	"""Systems Genetics of Diet Responsivity"""	"""Diabetes, resulting from insufficient insulin secretion to match metabolic demand, affects hundreds of millions of people. Diabetes risk is highly heritable and the majority of single-nucleotide polymorphisms conferring diabetes risk are thought to influence insulin production. Conversely, environmental factors such as obesity and diet can elevate metabolic demand and drive resistance to insulin. Individuals display a wide variation in diet responsivity. Consequently, despite many years of research there is no consensus on a single diet most compatible with health and most useful in preventing or reversing metabolic dysfunction in susceptible individuals. Our lab focuses on understanding the genetic factors driving insulin production and diet responsivity. In contrast to many labs studying metabolism using only a handful of highly inbred mouse strains, we focus on mice with high genetic and phenotypic variation. This allows us to perform genetic screens in well controlled experiments with high power, identifying novel target genes regulating metabolism which we can then validate experimentally. This talk will be an overview of our genetics pipeline and some of the techniques we are currently applying to nominate and validate interesting targets."""
"""2024-08-12"""	"""Yinan Chen"""	"""University of Illinois Urbana-Champaign"""	"""Exploring trends in US adolescent and young adult drug overdose mortality and creating an interactive web application"""	"""Drug overdose has affected adolescents and young adults in the US drastically. This study examined trends in drug overdose deaths related to illicitly manufactured fentanyls (IMFs) among adolescents aged 10-24 from 1999 to 2020. Linear regression was employed to analyze the changes in drug use across this demographic, while bootstrap was used to compare rates of increase. The results indicate that IMFs are implicated in the majority of overdose deaths among youth. Specifically, individuals aged 20-24 exhibited the most rapid increase in overdose rates and the highest incidence of fatalities. Additionally, significant racial disparities were observed in the rates of drug overdose deaths. An interactive web application has been developed to help researchers and the public visualize these trends."""
"""2024-08-19"""	"""Shanthi Sree Edara"""	"""University of Southern Mississippi, Hattiesburg"""	"""Impact of Gift Card Challenges on the Quality and Quantity of Research"""	"""Financial incentives, such as gift cards, are essential for increasing participant recruitment in research involving human subjects. However, administrative hurdles, Internal revenue services (IRS) regulations and university-specific challenges, often complicate the process of securing and distributing these incentives. Despite their benefits, these difficulties can impact both the quality and quantity of research. Therefore, understanding and addressing these challenges is crucial for ensuring that incentives effectively improve participant engagement and the success of research studies. This study examines the perceived impact of challenges in obtaining gift cards on both the quality and quantity of research, and how these effects vary depending on researchers' professional experience levels. Methods: A Qualtrics online survey was distributed to participants who are at least 18 years old and a person who uses gift cards in research. Participants were recruited through institutional listservs, scientific organization listservs, NIH-funded researcher email lists, and multiple sampling strategies. The experience levels were group into: Trainees (Undergraduate, graduate, post-doctoral, resident); Managers (Project managers, Research coordinators); Faculty (Junior faculty -less than 5 years, established faculty-more than 5 years of experience, research scientist). The variable how much do challenges in obtaining gift cards affect the quality of your research were recoded into not affected (Not at all), moderately affected (little bit and moderately), highly affected (quite a bit and very much). How much do challenges in obtaining gift cards affect the quantity of your research were recoded into not affected (Not at all), moderately affected (little bit and moderately), highly affected (quite a bit and very much). Data was analyzed using IBM SPSS Statistics 29.0, with emphasis on descriptive statistics and ordinal regression to compare the perceived impact of challenges in obtaining gift cards on the quality and quantity of research between trainees, managers, and faculty, with faculty as the reference group. Results: Among the 242 respondents, there were 117 established faculty, 46 junior faculty, 30 project managers, and 20 graduate students. These respondents were grouped into three categories: 168 faculty, 34 managers, and 42 trainees. Researchers reported that both research quality (73.1%) and quantity (68.3%) were moderately to highly affected by challenges in obtaining gift cards. Ordinal regression analysis showed that trainees experienced a significantly greater perceived impact on both the quality (parametric estimate = 1.10, p = 0.001) and quantity (parametric estimate = 1.68, p < 0.001) of their research compared to faculty. In contrast, managers did not report a significant difference in perceived impact on research quality (parametric estimate = 0.16, p = 0.64) or quantity (parametric estimate = 0.41, p = 0.24) when compared to faculty. Conclusion: The analysis reveals that trainees perceive a significantly greater impact on both the quality and quantity of their research due to challenges in obtaining gift cards, compared to faculty, while managers' perceptions do not significantly differ from those of faculty. Future research should explore strategies to streamline gift card procurement to mitigate these impacts."""
"""2024-08-26"""	"""Durbadal Ghosh"""	"""Florida State University, Tallahassee"""	"""BigRiverQTL: A Toolbox for Navigating Big Genetic Data Workflows"""	"""Genotype-phenotype associations provide crucial insights for disciplines such as biology, agriculture, and medicine. This project introduces BigRiverQTL.jl, a comprehensive Julia package designed to streamline quantitative trait locus (QTL) analysis. It features three main components: preprocessing, genome scans, and visualization. The preprocessing functions convert genomic data into an efficient format, calculate kinship matrices, and prepare data for analysis. For genome scans, BigRiverQTL.jl utilizes BulkLMM.jl for univariate scans and integrates the FlxQTL.jl module for multivariate and longitudinal trait analyses. Additionally, BigRiverQTL includes visualization tools that facilitate the examination of both QTL and eQTL scans. Overall, BigRiverQTL.jl represents a significant computational advancement in high-throughput QTL analysis, making sophisticated statistical tools accessible within the Julia programming environment."""
